CTD,20190304CCHSIOLMM
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#Transmissivity - Fluorescence - PAR data are nominal and unedited except that some records were removed in editing temperature and salinity.,,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#NOTE: While the Fluorescence:CTD data are expressed in concentration units they do not always compare well to extracted chlorophyll samples particularly for casts far from shore.,,,,,,,,,,,,,,,,,
#It is recommended that users check extracted chlorophyll values where available.,,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#Oxygen:Dissolved:CTD was calibrated using the method described in the Sea-Bird Application Note #64-2 of June 2012 (Sea-Bird_64-2_Jun2012.pdf) except that a small offset in the fit was allowed.,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,
#The Oxygen:Dissolved:CTD sensor has a fairly long response time so data accuracy is not as high when it is in motion as it is during stops for bottles.,,,,,,,,,,,,,,,,,
#This will be especially true when vertical dissolved oxygen gradients are large. ,,,,,,,,,,,,,,,,,
#To get an estimate of the accuracy of the Oxygen:Dissolved:CTD data during downcasts (after recalibration) a rough comparison was made between downcast Oxygen:Dissolved:CTD data and upcast titrated samples. ,,,,,,,,,,,,,,,,,
#Some of the difference will be due to problems with flushing of Niskin bottles and/or analysis errors so the following statement likely underestimates Oxygen:Dissolved:CTD accuracy.,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,
#Downcast (CTD files) Oxygen:Dissolved:CTD data are considered very roughly to be:,,,,,,,,,,,,,,,,,
#      • ±0.25 ml/l from 0 to 300 dbar,,,,,,,,,,,,,,,,,
#      • ±0.2 ml/l from 300 to 500 dbar,,,,,,,,,,,,,,,,,
#      • ±0.05 ml/l from 500 to 2000 dbar,,,,,,,,,,,,,,,,,
#      •Low by up to 0.03 ml/l below 2000 dbar,,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#For details on the processing see the report 2018-001-proc.pdf,,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,
#File Name,Zone,FIL:START TIME YYYY/MM/DD, HH:MM,LOC:EVENT_NUMBER,LOC:LATITUDE,LOC:LONGITUDE,LOC:STATION,INS:LOCATION,Pressure:CTD [dbar],Temperature:CTD [deg_C_(ITS90)],Salinity:CTD [PSS-78],Sigma-t:CTD [kg/m^3],Transmissivity:CTD [*/m],Oxygen:Dissolved:CTD:Volume [ml/l],Oxygen:Dissolved:CTD:Mass [µmol/kg],Fluorescence:CTD:Seapoint [mg/m^3],PAR:CTD [µE/m^2/sec]
#,,,,,,,,,,,,,,,,,
NUMBER_HEADERS = 8
EXPOCODE = 18LU20180218
STNBR = PA-011
CASTNO = 1
DATE = 20180227
TIME =  02:45
LATITUDE = 50.14233
LONGITUDE = -144.83234
CTDPRS,CTDPRS_FLAG_W,CTDTMP,CTDTMP_FLAG_W,CTDSAL,CTDSAL_FLAG_W,CTDOXY,CTDOXY_FLAG_W,CTDXMISS,CTDXMISS_FLAG_W,CTDFLUOR,CTDFLUOR_FLAG_W,PAR,PAR_FLAG_W
DBAR,,ITS-90,,PSS-78,,UMOL/KG,,,,MG/M^3,,UE/m^2/sec,
4.0,2,5.8782,2,32.4924,2,312.8,2,52.2,2,1.3780000000000001,2,20.2,2
4.9,2,5.879,2,32.4923,2,312.7,2,52.1,2,1.364,2,17.1,2
6.0,2,5.8799,2,32.4921,2,314.2,2,51.9,2,1.328,2,15.9,2
7.0,2,5.8799,2,32.4923,2,314.3,2,51.9,2,1.325,2,13.8,2
8.0,2,5.8795,2,32.4924,2,314.5,2,51.8,2,1.3559999999999999,2,11.6,2
9.0,2,5.8793,2,32.4925,2,314.1,2,51.9,2,1.368,2,10.8,2
10.0,2,5.8796,2,32.4923,2,314.1,2,51.9,2,1.3719999999999999,2,9.7,2
11.0,2,5.8797,2,32.4923,2,313.9,2,51.9,2,1.357,2,9.1,2
12.0,2,5.879,2,32.4926,2,313.3,2,51.9,2,1.349,2,8.4,2
13.0,2,5.8788,2,32.4926,2,313.2,2,51.9,2,1.3219999999999998,2,7.7,2
14.0,2,5.8789,2,32.4927,2,313.6,2,52.0,2,1.331,2,7.0,2
15.0,2,5.8785,2,32.4927,2,313.7,2,52.0,2,1.395,2,6.2,2
16.0,2,5.8786,2,32.4927,2,313.8,2,52.1,2,1.3459999999999999,2,5.7,2
17.1,2,5.879,2,32.4926,2,313.8,2,52.0,2,1.369,2,5.4,2
17.9,2,5.879,2,32.4927,2,313.9,2,51.9,2,1.3730000000000002,2,5.2,2
19.0,2,5.8787,2,32.4929,2,314.3,2,51.9,2,1.348,2,4.7,2
20.0,2,5.8789,2,32.4927,2,314.2,2,51.9,2,1.3419999999999999,2,4.3,2
21.0,2,5.8788,2,32.4928,2,314.1,2,51.9,2,1.3730000000000002,2,4.0,2
22.0,2,5.8787,2,32.4928,2,314.2,2,51.9,2,1.389,2,3.7,2
23.0,2,5.8788,2,32.4929,2,314.6,2,52.0,2,1.3330000000000002,2,3.4,2
24.0,2,5.879,2,32.493,2,315.3,2,51.9,2,1.339,2,3.2,2
25.0,2,5.8791,2,32.4928,2,315.1,2,51.9,2,1.3730000000000002,2,3.1,2
25.9,2,5.8785,2,32.4928,2,314.9,2,51.9,2,1.364,2,3.0,2
26.9,2,5.8788,2,32.4928,2,314.2,2,51.8,2,1.3780000000000001,2,2.7,2
28.0,2,5.8786,2,32.493,2,315.2,2,51.8,2,1.357,2,2.5,2
29.1,2,5.8783,2,32.4929,2,315.2,2,51.9,2,1.4280000000000002,2,2.3,2
30.0,2,5.8783,2,32.4928,2,314.3,2,51.8,2,1.395,2,2.2,2
31.0,2,5.8782,2,32.4929,2,313.9,2,51.7,2,1.3980000000000001,2,2.1,2
32.0,2,5.8786,2,32.4931,2,314.4,2,51.8,2,1.391,2,2.0,2
33.0,2,5.879,2,32.493,2,314.7,2,51.7,2,1.3659999999999999,2,1.8,2
34.0,2,5.8768,2,32.4934,2,315.0,2,51.9,2,1.3130000000000002,2,1.7,2
35.1,2,5.875,2,32.4937,2,315.1,2,52.0,2,1.335,2,1.6,2
35.9,2,5.8756,2,32.4935,2,314.7,2,52.0,2,1.318,2,1.5,2
37.0,2,5.8774,2,32.4933,2,314.7,2,51.9,2,1.319,2,1.4,2
38.0,2,5.8768,2,32.4935,2,314.9,2,51.9,2,1.325,2,1.3,2
39.0,2,5.8739,2,32.494,2,315.1,2,52.1,2,1.324,2,1.3,2
40.0,2,5.8709,2,32.4943,2,315.0,2,52.2,2,1.278,2,1.2,2
41.0,2,5.8667,2,32.4954,2,314.8,2,52.5,2,1.272,2,1.1,2
42.0,2,5.8653,2,32.4957,2,314.6,2,52.5,2,1.2670000000000001,2,1.0,2
43.0,2,5.8651,2,32.4957,2,314.8,2,52.6,2,1.224,2,1.0,2
44.0,2,5.8651,2,32.4958,2,314.7,2,52.6,2,1.244,2,0.9,2
45.0,2,5.865,2,32.4959,2,314.1,2,52.6,2,1.2329999999999999,2,0.8,2
46.0,2,5.864,2,32.496,2,314.1,2,52.3,2,1.2429999999999999,2,0.8,2
47.0,2,5.8634,2,32.4962,2,314.1,2,52.6,2,1.28,2,0.8,2
48.0,2,5.8603,2,32.4965,2,314.1,2,52.8,2,1.253,2,0.7,2
49.0,2,5.8621,2,32.4963,2,314.0,2,53.1,2,1.284,2,0.7,2
50.0,2,5.8634,2,32.4962,2,313.8,2,52.9,2,1.199,2,0.6,2
51.0,2,5.8618,2,32.4965,2,313.9,2,52.9,2,1.189,2,0.6,2
52.4,2,5.8601,2,32.4966,2,314.1,2,53.0,2,1.225,2,0.5,2
53.0,2,5.859,2,32.4972,2,313.8,2,53.1,2,1.2,2,0.5,2
54.0,2,5.8589,2,32.4971,2,313.6,2,53.1,2,1.2009999999999998,2,0.5,2
55.0,2,5.8588,2,32.4971,2,313.4,2,52.9,2,1.168,2,0.5,2
56.0,2,5.8588,2,32.4971,2,313.5,2,52.8,2,1.168,2,0.4,2
57.0,2,5.8587,2,32.4972,2,313.8,2,52.9,2,1.171,2,0.4,2
58.0,2,5.8587,2,32.4974,2,313.8,2,52.8,2,1.2009999999999998,2,0.4,2
59.0,2,5.8587,2,32.4974,2,313.8,2,52.8,2,1.199,2,0.4,2
60.0,2,5.859,2,32.4972,2,314.1,2,52.8,2,1.163,2,0.3,2
60.9,2,5.859,2,32.4973,2,313.8,2,52.7,2,1.192,2,0.3,2
62.0,2,5.8591,2,32.4976,2,313.5,2,52.7,2,1.176,2,0.3,2
63.0,2,5.8585,2,32.498000000000005,2,313.6,2,52.7,2,1.149,2,0.3,2
64.0,2,5.8582,2,32.4982,2,313.7,2,52.7,2,1.159,2,0.2,2
65.0,2,5.8581,2,32.4982,2,313.7,2,52.7,2,1.1640000000000001,2,0.2,2
66.0,2,5.8581,2,32.4981,2,313.7,2,52.7,2,1.1540000000000001,2,0.2,2
67.0,2,5.8582,2,32.4983,2,313.8,2,52.7,2,1.156,2,0.2,2
68.0,2,5.8576,2,32.4983,2,313.9,2,52.7,2,1.166,2,0.2,2
68.9,2,5.8577,2,32.4983,2,313.9,2,52.7,2,1.149,2,0.2,2
70.0,2,5.8584,2,32.4983,2,313.7,2,52.7,2,1.1420000000000001,2,0.2,2
71.0,2,5.8583,2,32.4984,2,313.7,2,52.6,2,1.183,2,0.2,2
72.0,2,5.8577,2,32.4985,2,313.7,2,52.6,2,1.143,2,0.2,2
73.0,2,5.8576,2,32.4984,2,313.5,2,52.6,2,1.187,2,0.1,2
74.0,2,5.8566,2,32.4989,2,313.5,2,52.7,2,1.186,2,0.1,2
75.0,2,5.856,2,32.499,2,313.5,2,52.7,2,1.15,2,0.1,2
76.0,2,5.855,2,32.4992,2,313.3,2,52.9,2,1.126,2,0.1,2
77.0,2,5.8535,2,32.4997,2,313.4,2,52.8,2,1.157,2,0.1,2
78.0,2,5.8524,2,32.5001,2,313.4,2,52.8,2,1.117,2,0.1,2
79.0,2,5.8514,2,32.5005,2,313.3,2,52.8,2,1.171,2,0.1,2
80.0,2,5.8513,2,32.5005,2,312.2,2,52.8,2,1.128,2,0.1,2
81.0,2,5.8514,2,32.5006,2,312.3,2,52.6,2,1.099,2,0.1,2
82.0,2,5.8509,2,32.5009,2,313.1,2,52.6,2,1.129,2,0.1,2
83.0,2,5.8499,2,32.5015,2,313.1,2,52.6,2,1.102,2,0.1,2
84.0,2,5.8478,2,32.5022,2,312.6,2,52.7,2,1.055,2,0.1,2
85.0,2,5.8457,2,32.5031,2,312.3,2,52.7,2,1.0270000000000001,2,0.0,2
86.0,2,5.84,2,32.5049,2,312.1,2,52.8,2,0.9790000000000001,2,0.0,2
87.2,2,5.8325,2,32.5075,2,312.1,2,53.3,2,0.997,2,0.0,2
88.0,2,5.8253,2,32.51,2,306.8,2,53.3,2,0.934,2,0.0,2
89.0,2,5.7904,2,32.5235,2,303.3,2,53.9,2,0.8029999999999999,2,0.0,2
90.0,2,5.6998,2,32.5564,2,300.3,2,54.5,2,0.655,2,0.0,2
91.0,2,5.6519,2,32.5733,2,297.2,2,54.9,2,0.564,2,0.0,2
92.0,2,5.617000000000001,2,32.5849,2,294.6,2,54.9,2,0.48100000000000004,2,0.0,2
93.0,2,5.5511,2,32.6089,2,292.0,2,55.1,2,0.418,2,0.0,2
94.0,2,5.4328,2,32.6513,2,287.9,2,55.5,2,0.42100000000000004,2,0.0,2
95.0,2,5.372000000000001,2,32.6701,2,282.5,2,55.7,2,0.312,2,0.0,2
96.0,2,5.2296,2,32.7223,2,279.0,2,55.8,2,0.27399999999999997,2,0.0,2
97.0,2,5.0724,2,32.7858,2,276.8,2,55.8,2,0.23399999999999999,2,0.0,2
98.0,2,5.0034,2,32.8152,2,277.4,2,55.8,2,0.23800000000000002,2,0.0,2
98.9,2,4.9158,2,32.8595,2,276.9,2,55.9,2,0.24100000000000002,2,0.0,2
101.0,2,4.7375,2,32.9374,2,262.6,2,56.1,2,0.18899999999999997,2,0.0,2
102.0,2,4.6737,2,32.9783,2,259.3,2,56.2,2,0.179,2,0.0,2
103.0,2,4.6412,2,33.0073,2,256.3,2,56.2,2,0.166,2,0.0,2
104.0,2,4.6183,2,33.0379,2,253.9,2,56.3,2,0.158,2,0.0,2
105.0,2,4.6051,2,33.0526,2,252.0,2,56.4,2,0.151,2,0.0,2
106.0,2,4.5818,2,33.0702,2,250.4,2,56.4,2,0.138,2,0.0,2
107.0,2,4.5513,2,33.0974,2,249.0,2,56.4,2,0.129,2,0.0,2
107.8,2,4.5384,2,33.1202,2,248.4,2,56.5,2,0.14,2,0.0,2
110.0,2,4.5293,2,33.1833,2,239.0,2,56.6,2,0.125,2,0.0,2
111.0,2,4.5218,2,33.2089,2,235.0,2,56.6,2,0.113,2,0.0,2
112.0,2,4.5373,2,33.2307,2,231.5,2,56.4,2,0.10300000000000001,2,0.0,2
113.0,2,4.5598,2,33.2622,2,228.0,2,56.5,2,0.105,2,0.0,2
114.0,2,4.558,2,33.2922,2,224.4,2,56.6,2,0.1,2,0.0,2
115.0,2,4.5485,2,33.3302,2,220.6,2,56.6,2,0.107,2,0.0,2
116.0,2,4.5441,2,33.3445,2,218.7,2,56.5,2,0.098,2,0.0,2
117.0,2,4.5497,2,33.3534,2,217.2,2,56.5,2,0.10300000000000001,2,0.0,2
118.0,2,4.5603,2,33.3604,2,215.8,2,56.5,2,0.10400000000000001,2,0.0,2
119.0,2,4.5644,2,33.3696,2,214.0,2,56.5,2,0.09300000000000001,2,0.0,2
120.0,2,4.5442,2,33.4088,2,211.8,2,56.5,2,0.092,2,0.0,2
121.0,2,4.5375,2,33.418,2,209.6,2,56.7,2,0.08800000000000001,2,0.0,2
122.0,2,4.5477,2,33.4335,2,207.7,2,56.9,2,0.095,2,0.0,2
123.0,2,4.5489,2,33.4467,2,206.3,2,56.8,2,0.09300000000000001,2,0.0,2
